Timestamp,Username,VideoID,Comment,Date
2023-12-28T21:26:59Z,@pipertripp,Y0c6cdbs4og,"Glad to see that I'm already doing most of this, but I could definitely brush up on the use of the debugger. Thanks for sharing!",2023-12-28T21:26:59Z
2023-07-15T08:23:36Z,@m.a.salvatorre8786,Y0c6cdbs4og,Thanks for this video! Can you talk aabout Quarto next time? Can it help improve productivity?,2023-07-15T08:23:36Z
2022-09-02T12:38:23Z,@hoangyenin5945,Y0c6cdbs4og,this nice ,2022-09-02T12:38:23Z
2022-05-20T01:26:36Z,@ericanku9451,Y0c6cdbs4og,"Thank you very much for sharing these tips. I started off my data analytics journey using R and picked up Python along the way. However, I sometimes find it difficult to keep up with new developments from both ends. Any tips on how you keep up using both R and Python.",2022-05-20T01:26:36Z
2022-05-20T17:26:40Z,@Thuvu5,Y0c6cdbs4og,"Hi Eric, thank you for watching! It’s hard to keep up with new developments and tools. I just try to learn something new everyday and create new projects 😀",2022-05-20T17:26:40Z
2022-05-20T21:12:18Z,@ericanku9451,Y0c6cdbs4og,@@Thuvu5 Oh okay. Thank you very much for the reply. I need to follow your footsteps then,2022-05-20T21:12:18Z
2022-03-24T21:36:27Z,@JimCallahanOrlando,Y0c6cdbs4og,"If you add both Docker and  Cookiecutter; Joshua Gorner has an amazing workflow for Python (but it could be adapted for R).
https://www.youtube.com/watch?v=bl1XSZy11vQ",2022-03-24T21:36:27Z
2021-11-28T18:06:56Z,@akshaychopade794,Y0c6cdbs4og,"Hi, can I get your contact no., I need your help in my script",2021-11-28T18:06:56Z
2021-12-19T18:02:46Z,@Thuvu5,Y0c6cdbs4og,"Hi, yes of course. You can contact me via my LinkedIn (link on the banner of my channel)",2021-12-19T18:02:46Z
2021-10-10T06:28:34Z,@suzukazeeuvlog1881,Y0c6cdbs4og,"Your R video make me so motivated with beautiful girl.Could you make video series or online class such as""30 days ○challenge "".Statistics, R,SQL....and others.I will keep watching!",2021-10-10T06:29:15Z
2021-10-11T09:32:01Z,@Thuvu5,Y0c6cdbs4og,Thank you so much for commenting and your nice ideas. I’ll keep that in mind for future videos! 😊,2021-10-11T09:32:01Z
2021-09-07T20:37:01Z,@TheMISBlog,Y0c6cdbs4og,"Love this series Thu, Good Luck",2021-09-07T20:37:01Z
2021-09-08T08:11:21Z,@Thuvu5,Y0c6cdbs4og,Thank you 😊,2021-09-08T08:11:21Z
2021-08-18T01:34:38Z,@MsHaTrang,Y0c6cdbs4og,"from data to big data to AI, can you make video about big data and AI in the future?",2021-08-18T01:34:38Z
2021-08-18T06:00:50Z,@Thuvu5,Y0c6cdbs4og,"Yes I will! These topics are already on my list, thank you for your feedback 😊",2021-08-18T06:00:50Z
2021-08-07T12:36:28Z,@sivaprakash8148,Y0c6cdbs4og,"Very awesome video as usual, waiting for the next video..👍",2021-08-07T12:36:28Z
2021-08-07T15:02:05Z,@Thuvu5,Y0c6cdbs4og,"Thank you so much Siva, that means a lot to me because making these videos took a lot of time haha.",2021-08-07T15:02:05Z
2021-08-07T11:22:29Z,@uttamsingh6705,Y0c6cdbs4og,There is no tool like excel for DA at least for beginners if you use it please share it's tricks too your one of the tricks video is already making my life easier 🌻,2021-08-07T11:22:29Z
2021-08-07T15:04:01Z,@Thuvu5,Y0c6cdbs4og,"Hi Uttam, thank you. Did you mean you'd like to know Excel tips for data analysis?",2021-08-07T15:04:01Z
2021-08-07T15:10:21Z,@uttamsingh6705,Y0c6cdbs4og,@@Thuvu5 yeah yeah that's what I ment,2021-08-07T15:10:21Z
2023-07-08T09:57:19Z,@Thuvu5,3736Pd_hwFQ,What is your favourite tip and trick using data science tools? Pls share it with me below! 😎,2023-07-08T09:57:19Z
2023-07-08T12:29:23Z,@hassanlaqrabti4036,3736Pd_hwFQ,I hope you will put videos like this one and tutorials thanks for your effort,2023-07-08T12:29:23Z
2023-07-08T19:47:13Z,@theawesomeharris,3736Pd_hwFQ,thanks for all your timestamps you so conveniently put inside the description :) will definitely come in handy when i revisit this video from time to time :D,2023-07-08T19:47:13Z
2023-07-25T01:00:35Z,@pondokmunzir3599,3736Pd_hwFQ,"hi Thu Vu , can you activate the translate feature into Indonesian. I am your subscriber from Indonesia. It looks like the auto translate feature to Indonesian doesn't work if you don't set it in your video settings.
Thank You.",2023-07-25T01:00:35Z
2024-06-26T10:25:21Z,@waynesmith7410,3736Pd_hwFQ,Great tips!!  Thank you,2024-06-26T10:25:21Z
2024-03-21T10:02:10Z,@RobertHorvat93,3736Pd_hwFQ,From now on you are my Data analytics auntie  !  :D,2024-03-21T10:02:10Z
2024-03-21T07:42:50Z,@philippe6724,3736Pd_hwFQ,Extensive and well taught walkthrough of Jupyter lab! Thank you-),2024-03-21T07:42:50Z
2024-03-02T03:15:20Z,@vinimagalhaes7115,3736Pd_hwFQ,thank yoou!! <3,2024-03-02T03:15:20Z
2024-02-16T23:02:43Z,@ts5778,3736Pd_hwFQ,How does this not have more likes! Maybe you should make a separate series targeting newbies or people who want to polish up their skills as a professional. I like your videos because you are clear and concise. I've been introduced to so many new tools because of your channel.,2024-02-16T23:02:43Z
2024-01-07T05:50:35Z,@user-bv3ci7pf2r,3736Pd_hwFQ,holy moly you are vids are knowledge rich,2024-01-07T05:50:35Z
2023-10-20T05:37:41Z,@sandydsa,3736Pd_hwFQ,"@Thuvu5  Saw this while applying your tips 😊😊  ""pandas-profiling
⚠ pandas-profiling package naming was changed. To continue profiling data use ydata-profiling instead!""",2023-10-23T02:57:23Z
2023-10-20T03:05:29Z,@sandydsa,3736Pd_hwFQ,"Any SQL tips?  😄 I can hope, right?  Hahaha!  Anyway, great great job on this video!  I keep coming back to this video to ensure I don't, miss any tricks!  The timestamps are perfect as well, so when I want to review topics I can go straight to them.  I don't necessarily absorb everything at first, replaying your video helps with my learning curve.  For 2023, you are one of my top subscriptions, including Luke Barousse, Alex the Analyst, Tina Huang and Data With Mo (Mo Chen).  Somehow all of you exude positivity,  you don't take yourselves too seriously, you are humble, or you all just smile a lot!   Keep it up!  We all need this atmosphere in the data community to erase that impression that we are ""stuffy nerdy people"" he he he.",2023-10-20T03:05:29Z
2023-10-19T10:16:50Z,@DAVIDNGUYEN-mp2kk,3736Pd_hwFQ,❤,2023-10-19T10:16:50Z
2023-09-13T21:22:18Z,@irf7aan,3736Pd_hwFQ,Check out my data analytics project challenge on telangana dataset on my channel and try to participate in that. You will love it ❤,2023-09-13T21:22:18Z
2023-08-28T08:18:15Z,@Arthur_N_Rich,3736Pd_hwFQ,"I am here to say....thank you! This was a phenomenal video which was extremely helpful! Let us know when you're doing 1on1 mentorship sessions, I am ready to sign up!",2023-08-28T08:18:38Z
2023-08-21T14:23:54Z,@mohammednayaz1005,3736Pd_hwFQ,Would you be releasing videos on the DOMO BI App please?,2023-08-21T14:23:54Z
2023-08-08T20:53:08Z,@RC.-,3736Pd_hwFQ,Jesus loves you so much.,2023-08-08T20:53:08Z
2023-08-02T17:18:22Z,@nyashamagora7385,3736Pd_hwFQ,my favorite channel,2023-08-02T17:18:22Z
2023-08-02T09:46:59Z,@keastontejada6069,3736Pd_hwFQ,P R O M O S M,2023-08-02T09:46:59Z
2023-07-31T23:46:49Z,@joaoguerreiro9403,3736Pd_hwFQ,Make videos applying Computer Science like nang channel does!! It would be great to see it :D,2023-07-31T23:46:49Z
